country,scenario,metric,baseline_value,comparison_value,difference
AFG,tobacco_t3,Total deaths averted by 2035,3022348.9600000004,3022321.11,-27.850000000558794
AFG,tobacco_t3,Cases averted by 2030,14186501.030000001,14183856.73,-2644.300000000745
AFG,tobacco_t3,Cases averted by 2035,29962134.87,29951197.779999994,-10937.090000007302
AFG,tobacco_t3,Total healthy years lived by 2030,247917675.68,247917826.60000002,150.9200000166893
AFG,tobacco_t3,Total healthy years lived by 2035,477631934.81000006,477632601.9800001,667.1700000166893
AFG,tobacco_t3,Economic benefit (USD) by 2030,27026479969.616734,27026506917.998543,26948.38180923462
AFG,tobacco_t3,Economic benefit (USD) by 2035,49415560364.5384,49415668740.89543,108376.35703277588
AFG,tobacco_t3,Intervention cost (USD) by 2030,0,10562277.495730488,10562277.495730488
AFG,tobacco_t3,Intervention cost (USD) by 2035,0,18894711.01925088,18894711.01925088
AFG,tobacco_t6,Total deaths averted by 2030,1604127.54,1604121.4200000002,-6.119999999878928
AFG,tobacco_t6,Total deaths averted by 2035,3022348.9600000004,3022314.57,-34.39000000059605
AFG,tobacco_t6,Cases averted by 2030,14186501.030000001,14183237.66,-3263.370000001043
AFG,tobacco_t6,Cases averted by 2035,29962134.87,29948636.2,-13498.670000001788
AFG,tobacco_t6,Total healthy years lived by 2030,247917675.68,247917861.94,186.25999999046326
AFG,tobacco_t6,Total healthy years lived by 2035,477631934.81000006,477632758.25000006,823.4399999976158
AFG,tobacco_t6,Economic benefit (USD) by 2030,27026479969.616734,27026513232.53482,33262.918087005615
AFG,tobacco_t6,Economic benefit (USD) by 2035,49415560364.5384,49415694149.1821,133784.643699646
AFG,tobacco_t6,Intervention cost (USD) by 2030,0,10562277.568126816,10562277.568126816
AFG,tobacco_t6,Intervention cost (USD) by 2035,0,18894711.723209586,18894711.723209586
AFG,tobacco_t4,Total deaths averted by 2030,1604127.54,1604115.9400000002,-11.599999999860302
AFG,tobacco_t4,Total deaths averted by 2035,3022348.9600000004,3022283.69,-65.27000000048429
AFG,tobacco_t4,Cases averted by 2030,14186501.030000001,14180308.61,-6192.420000001788
AFG,tobacco_t4,Cases averted by 2035,29962134.87,29936510.819999997,-25624.05000000447
AFG,tobacco_t4,Total healthy years lived by 2030,247917675.68,247918029.08000004,353.4000000357628
AFG,tobacco_t4,Total healthy years lived by 2035,477631934.81000006,477633497.8899999,1563.0799998641014
AFG,tobacco_t4,Economic benefit (USD) by 2030,27026479969.616734,27026543137.940487,63168.32375335693
AFG,tobacco_t4,Economic benefit (USD) by 2035,49415560364.5384,49415814551.73692,254187.1985244751
AFG,tobacco_t4,Intervention cost (USD) by 2030,0,10562277.91326344,10562277.91326344
AFG,tobacco_t4,Intervention cost (USD) by 2035,0,18894715.056611877,18894715.056611877
AFG,tobacco_t5,Total deaths averted by 2030,1604127.54,1604117.6,-9.93999999994412
AFG,tobacco_t5,Total deaths averted by 2035,3022348.9600000004,3022293.09,-55.87000000057742
AFG,tobacco_t5,Cases averted by 2030,14186501.030000001,14181198.040000001,-5302.9900000002235
AFG,tobacco_t5,Cases averted by 2035,29962134.87,29940193.789999995,-21941.080000005662
AFG,tobacco_t5,Total healthy years lived by 2030,247917675.68,247917978.33,302.65000000596046
AFG,tobacco_t5,Total healthy years lived by 2035,477631934.81000006,477633273.21999997,1338.4099999070168
AFG,tobacco_t5,Economic benefit (USD) by 2030,27026479969.616734,27026534051.76542,54082.14868545532
AFG,tobacco_t5,Economic benefit (USD) by 2035,49415560364.5384,49415777957.503624,217592.96522521973
AFG,tobacco_t5,Intervention cost (USD) by 2030,0,10562277.808172083,10562277.808172083
AFG,tobacco_t5,Intervention cost (USD) by 2035,0,18894714.043782085,18894714.043782085
ALB,tobacco_t1,Total deaths averted by 2030,147278.42999999996,147277.4,-1.029999999969732
ALB,tobacco_t1,Total deaths averted by 2035,278653.73000000004,278650.45,-3.2800000000279397
ALB,tobacco_t1,Cases averted by 2030,609462.48,608989.75,-472.7299999999814
ALB,tobacco_t1,Cases averted by 2035,1213153.1,1211831.12,-1321.9799999999814
ALB,tobacco_t1,Total healthy years lived by 2030,14467159.04,14467175.559999999,16.519999999552965
ALB,tobacco_t1,Total healthy years lived by 2035,26251600.150000002,26251651.499999996,51.349999994039536
ALB,tobacco_t1,Economic benefit (USD) by 2030,71115740306.40395,71115819071.02338,78764.61943054199
ALB,tobacco_t1,Economic benefit (USD) by 2035,119869097854.45541,119869305422.53326,207568.0778503418
ALB,tobacco_t1,Intervention cost (USD) by 2030,0,1093943.2297926631,1093943.2297926631
ALB,tobacco_t1,Intervention cost (USD) by 2035,0,1854184.4801882983,1854184.4801882983
ALB,asthma_cr1,Total deaths averted by 2030,147278.42999999996,147278.43,2.9103830456733704e-11
ALB,asthma_cr1,Total deaths averted by 2035,278653.73000000004,278653.73,-5.820766091346741e-11
ALB,asthma_cr1,Cases averted by 2030,609462.48,609462.48,0.0
ALB,asthma_cr1,Cases averted by 2035,1213153.1,1213153.0999999999,-2.3283064365386963e-10
ALB,asthma_cr1,Total healthy years lived by 2030,14467159.04,14468406.670000002,1247.6300000026822
ALB,asthma_cr1,Total healthy years lived by 2035,26251600.150000002,26254618.69,3018.539999999106
ALB,asthma_cr1,Economic benefit (USD) by 2030,71115740306.40395,71120745197.68413,5004891.280181885
ALB,asthma_cr1,Economic benefit (USD) by 2035,119869097854.45541,119880247339.08035,11149484.624938965
ALB,asthma_cr1,Intervention cost (USD) by 2030,0,10158042.818969682,10158042.818969682
ALB,asthma_cr1,Intervention cost (USD) by 2035,0,17217420.016989417,17217420.016989417
ALB,tobacco_t2,Total deaths averted by 2030,147278.42999999996,147277.76,-0.669999999954598
ALB,tobacco_t2,Total deaths averted by 2035,278653.73000000004,278650.39999999997,-3.330000000074506
ALB,tobacco_t2,Cases averted by 2030,609462.48,609126.53,-335.94999999995343
ALB,tobacco_t2,Cases averted by 2035,1213153.1,1211839.99,-1313.1100000001024
ALB,tobacco_t2,Total healthy years lived by 2030,14467159.04,14467170.350000001,11.310000002384186
ALB,tobacco_t2,Total healthy years lived by 2035,26251600.150000002,26251649.490000002,49.33999999985099
ALB,tobacco_t2,Economic benefit (USD) by 2030,71115740306.40395,71115793716.08337,53409.679428100586
ALB,tobacco_t2,Economic benefit (USD) by 2035,119869097854.45541,119869294656.37376,196801.91835021973
ALB,tobacco_t2,Intervention cost (USD) by 2030,0,3438107.032366839,3438107.032366839
ALB,tobacco_t2,Intervention cost (USD) by 2035,0,5827436.504528255,5827436.504528255
ALB,tobacco_t3,Total deaths averted by 2030,147278.42999999996,147278.04,-0.3899999999557622
ALB,tobacco_t3,Total deaths averted by 2035,278653.73000000004,278651.75,-1.9800000000395812
ALB,tobacco_t3,Cases averted by 2030,609462.48,609261.52,-200.95999999996275
ALB,tobacco_t3,Cases averted by 2035,1213153.1,1212367.9100000001,-785.1899999999441
ALB,tobacco_t3,Total healthy years lived by 2030,14467159.04,14467165.809999999,6.769999999552965
ALB,tobacco_t3,Total healthy years lived by 2035,26251600.150000002,26251629.65,29.49999999627471
ALB,tobacco_t3,Economic benefit (USD) by 2030,71115740306.40395,71115772252.3169,31945.9129486084
ALB,tobacco_t3,Economic benefit (USD) by 2035,119869097854.45541,119869215521.73073,117667.27531433105
ALB,tobacco_t3,Intervention cost (USD) by 2030,0,625110.3522687731,625110.3522687731
ALB,tobacco_t3,Intervention cost (USD) by 2035,0,1059533.7604534081,1059533.7604534081
ALB,tobacco_t6,Total deaths averted by 2030,147278.42999999996,147277.94999999998,-0.47999999998137355
ALB,tobacco_t6,Total deaths averted by 2035,278653.73000000004,278651.30000000005,-2.429999999993015
ALB,tobacco_t6,Cases averted by 2030,609462.48,609214.3599999999,-248.12000000011176
ALB,tobacco_t6,Cases averted by 2035,1213153.1,1212183.5499999998,-969.5500000002794
ALB,tobacco_t6,Total healthy years lived by 2030,14467159.04,14467167.4,8.360000001266599
ALB,tobacco_t6,Total healthy years lived by 2035,26251600.150000002,26251636.580000002,36.42999999970198
ALB,tobacco_t6,Economic benefit (USD) by 2030,71115740306.40395,71115779749.37779,39442.97384643555
ALB,tobacco_t6,Economic benefit (USD) by 2035,119869097854.45541,119869243155.59866,145301.14324951172
ALB,tobacco_t6,Intervention cost (USD) by 2030,0,625110.3586053341,625110.3586053341
ALB,tobacco_t6,Intervention cost (USD) by 2035,0,1059533.8131247268,1059533.8131247268
ALB,tobacco_t4,Total deaths averted by 2030,147278.42999999996,147277.5,-0.9299999999639113
ALB,tobacco_t4,Total deaths averted by 2035,278653.73000000004,278649.07,-4.660000000032596
ALB,tobacco_t4,Cases averted by 2030,609462.48,608990.73,-471.75
ALB,tobacco_t4,Cases averted by 2035,1213153.1,1211308.45,-1844.6500000001397
ALB,tobacco_t4,Total healthy years lived by 2030,14467159.04,14467174.91,15.870000001043081
ALB,tobacco_t4,Total healthy years lived by 2035,26251600.150000002,26251669.46,69.3099999986589
ALB,tobacco_t4,Economic benefit (USD) by 2030,71115740306.40395,71115815314.81287,75008.40892028809
ALB,tobacco_t4,Economic benefit (USD) by 2035,119869097854.45541,119869374350.79567,276496.3402557373
ALB,tobacco_t4,Intervention cost (USD) by 2030,0,625110.3870974244,625110.3870974244
ALB,tobacco_t4,Intervention cost (USD) by 2035,0,1059534.0600716528,1059534.0600716528
ALB,tobacco_t5,Total deaths averted by 2030,147278.42999999996,147277.63999999998,-0.7899999999790452
ALB,tobacco_t5,Total deaths averted by 2035,278653.73000000004,278649.76999999996,-3.9600000000791624
ALB,tobacco_t5,Cases averted by 2030,609462.48,609058.7400000001,-403.73999999987427
ALB,tobacco_t5,Cases averted by 2035,1213153.1,1211574.67,-1578.4300000001676
ALB,tobacco_t5,Total healthy years lived by 2030,14467159.04,14467172.62,13.580000000074506
ALB,tobacco_t5,Total healthy years lived by 2035,26251600.150000002,26251659.45,59.29999999701977
ALB,tobacco_t5,Economic benefit (USD) by 2030,71115740306.40395,71115804498.47685,64192.07290649414
ALB,tobacco_t5,Economic benefit (USD) by 2035,119869097854.45541,119869334433.1685,236578.71308898926
ALB,tobacco_t5,Intervention cost (USD) by 2030,0,625110.3786808815,625110.3786808815
ALB,tobacco_t5,Intervention cost (USD) by 2035,0,1059533.984723488,1059533.984723488
DZA,tobacco_t1,Total deaths averted by 2030,1274960.9300000002,1274952.8599999999,-8.070000000298023
DZA,tobacco_t1,Total deaths averted by 2035,2505772.4099999997,2505743.29,-29.119999999646097
DZA,tobacco_t1,Cases averted by 2030,11813530.700000001,11809546.739999998,-3983.9600000027567
DZA,tobacco_t1,Cases averted by 2035,24458778.66,24447006.89,-11771.769999999553
DZA,tobacco_t1,Total healthy years lived by 2030,252289614.5,252289879.87,265.3700000047684
DZA,tobacco_t1,Total healthy years lived by 2035,473763198.9599999,473764025.8000001,826.8400001525879
DZA,tobacco_t1,Economic benefit (USD) by 2030,373976826553.3986,373977517376.52203,690823.1234130859
DZA,tobacco_t1,Economic benefit (USD) by 2035,655661081812.1735,655662955459.99,1873647.8165283203
DZA,tobacco_t1,Intervention cost (USD) by 2030,0,18988362.39121803,18988362.39121803
DZA,tobacco_t1,Intervention cost (USD) by 2035,0,33229006.172251433,33229006.172251433
DZA,asthma_cr1,Total deaths averted by 2030,1274960.9300000002,1274960.9300000002,0.0
DZA,asthma_cr1,Total deaths averted by 2035,2505772.4099999997,2505772.4100000006,9.313225746154785e-10
DZA,asthma_cr1,Cases averted by 2030,11813530.700000001,11813530.7,-1.862645149230957e-09
DZA,asthma_cr1,Cases averted by 2035,24458778.66,24458778.66,0.0
DZA,asthma_cr1,Total healthy years lived by 2030,252289614.5,252340055.92999998,50441.42999997735
DZA,asthma_cr1,Total healthy years lived by 2035,473763198.9599999,473889258.87,126059.91000008583
DZA,asthma_cr1,Economic benefit (USD) by 2030,373976826553.3986,374021214345.35297,44387791.9543457
DZA,asthma_cr1,Economic benefit (USD) by 2035,655661081812.1735,655765813899.7289,104732087.55541992
DZA,asthma_cr1,Intervention cost (USD) by 2030,0,176320496.95420128,176320496.95420128
DZA,asthma_cr1,Intervention cost (USD) by 2035,0,308554996.4658386,308554996.4658386
DZA,tobacco_t2,Total deaths averted by 2030,1274960.9300000002,1274955.99,-4.940000000176951
DZA,tobacco_t2,Total deaths averted by 2035,2505772.4099999997,2505744.39,-28.019999999552965
DZA,tobacco_t2,Cases averted by 2030,11813530.700000001,11810750.760000002,-2779.9399999994785
DZA,tobacco_t2,Cases averted by 2035,24458778.66,24447296.729999993,-11481.930000007153
DZA,tobacco_t2,Total healthy years lived by 2030,252289614.5,252289796.49,181.99000000953674
DZA,tobacco_t2,Total healthy years lived by 2035,473763198.9599999,473763991.39,792.4300000667572
DZA,tobacco_t2,Economic benefit (USD) by 2030,373976826553.3986,373977289587.18005,463033.78143310547
DZA,tobacco_t2,Economic benefit (USD) by 2035,655661081812.1735,655662843185.5288,1761373.3553466797
DZA,tobacco_t2,Intervention cost (USD) by 2030,0,59677708.368645556,59677708.368645556
DZA,tobacco_t2,Intervention cost (USD) by 2035,0,104434015.28669888,104434015.28669888
DZA,tobacco_t3,Total deaths averted by 2030,1274960.9300000002,1274957.98,-2.9500000001862645
DZA,tobacco_t3,Total deaths averted by 2035,2505772.4099999997,2505755.6200000006,-16.78999999910593
DZA,tobacco_t3,Cases averted by 2030,11813530.700000001,11811865.72,-1664.980000000447
DZA,tobacco_t3,Cases averted by 2035,24458778.66,24451903.35,-6875.309999998659
DZA,tobacco_t3,Total healthy years lived by 2030,252289614.5,252289723.5,109.0
DZA,tobacco_t3,Total healthy years lived by 2035,473763198.9599999,473763673.46999997,474.5100000500679
DZA,tobacco_t3,Economic benefit (USD) by 2030,373976826553.3986,373977103760.9449,277207.54626464844
DZA,tobacco_t3,Economic benefit (USD) by 2035,655661081812.1735,655662136037.3234,1054225.1499023438
DZA,tobacco_t3,Intervention cost (USD) by 2030,0,10850492.306195086,10850492.306195086
DZA,tobacco_t3,Intervention cost (USD) by 2035,0,18988001.577917147,18988001.577917147
DZA,tobacco_t6,Total deaths averted by 2030,1274960.9300000002,1274957.29,-3.640000000130385
DZA,tobacco_t6,Total deaths averted by 2035,2505772.4099999997,2505751.6799999997,-20.729999999981374
DZA,tobacco_t6,Cases averted by 2030,11813530.700000001,11811475.94,-2054.760000001639
DZA,tobacco_t6,Cases averted by 2035,24458778.66,24450293.14,-8485.519999999553
DZA,tobacco_t6,Total healthy years lived by 2030,252289614.5,252289749.02,134.52000001072884
DZA,tobacco_t6,Total healthy years lived by 2035,473763198.9599999,473763784.61,585.6500000953674
DZA,tobacco_t6,Economic benefit (USD) by 2030,373976826553.3986,373977168706.74304,342153.3444213867
DZA,tobacco_t6,Economic benefit (USD) by 2035,655661081812.1735,655662383143.0258,1301330.8522949219
DZA,tobacco_t6,Intervention cost (USD) by 2030,0,10850492.349440278,10850492.349440278
DZA,tobacco_t6,Intervention cost (USD) by 2035,0,18988001.99767586,18988001.99767586
DZA,tobacco_t4,Total deaths averted by 2030,1274960.9300000002,1274954.0200000003,-6.909999999916181
DZA,tobacco_t4,Total deaths averted by 2035,2505772.4099999997,2505733.09,-39.31999999983236
DZA,tobacco_t4,Cases averted by 2030,11813530.700000001,11809631.8,-3898.9000000003725
DZA,tobacco_t4,Cases averted by 2035,24458778.66,24442671.53,-16107.129999998957
DZA,tobacco_t4,Total healthy years lived by 2030,252289614.5,252289869.73,255.22999998927116
DZA,tobacco_t4,Total healthy years lived by 2035,473763198.9599999,473764310.58,1111.620000064373
DZA,tobacco_t4,Economic benefit (USD) by 2030,373976826553.3986,373977476237.7493,649684.3507080078
DZA,tobacco_t4,Economic benefit (USD) by 2035,655661081812.1735,655663553832.3071,2472020.133666992
DZA,tobacco_t4,Intervention cost (USD) by 2030,0,10850492.555443296,10850492.555443296
DZA,tobacco_t4,Intervention cost (USD) by 2035,0,18988003.984914053,18988003.984914053
DZA,tobacco_t5,Total deaths averted by 2030,1274960.9300000002,1274955.01,-5.920000000158325
DZA,tobacco_t5,Total deaths averted by 2035,2505772.4099999997,2505738.7499999995,-33.66000000014901
DZA,tobacco_t5,Cases averted by 2030,11813530.700000001,11810191.78,-3338.920000001788
DZA,tobacco_t5,Cases averted by 2035,24458778.66,24444986.47,-13792.190000001341
DZA,tobacco_t5,Total healthy years lived by 2030,252289614.5,252289833.08,218.58000001311302
DZA,tobacco_t5,Total healthy years lived by 2035,473763198.9599999,473764150.81999993,951.8600000143051
DZA,tobacco_t5,Economic benefit (USD) by 2030,373976826553.3986,373977382809.02246,556255.623840332
DZA,tobacco_t5,Economic benefit (USD) by 2035,655661081812.1735,655663198069.7814,2116257.6079101562
DZA,tobacco_t5,Intervention cost (USD) by 2030,0,10850492.492831746,10850492.492831746
DZA,tobacco_t5,Intervention cost (USD) by 2035,0,18988003.38179153,18988003.38179153
AGO,tobacco_t1,Total deaths averted by 2030,1707715.32,1707711.07,-4.25
AGO,tobacco_t1,Total deaths averted by 2035,3300866.83,3300851.74,-15.089999999850988
AGO,tobacco_t1,Cases averted by 2030,10644237.43,10642271.06,-1966.3699999991804
AGO,tobacco_t1,Cases averted by 2035,23111795.479999997,23105897.21,-5898.269999995828
AGO,tobacco_t1,Total healthy years lived by 2030,216168669.0,216168837.30999997,168.30999997258186
AGO,tobacco_t1,Total healthy years lived by 2035,425456307.9200001,425456835.22,527.2999999523163
AGO,tobacco_t1,Economic benefit (USD) by 2030,174428581011.28772,174428840950.5714,259939.28369140625
AGO,tobacco_t1,Economic benefit (USD) by 2035,324079473192.6106,324080221665.322,748472.7114257812
AGO,tobacco_t1,Intervention cost (USD) by 2030,0,16559208.034358459,16559208.034358459
AGO,tobacco_t1,Intervention cost (USD) by 2035,0,30206794.318808418,30206794.318808418
AGO,asthma_cr1,Total deaths averted by 2030,1707715.32,1707715.3199999998,-2.3283064365386963e-10
AGO,asthma_cr1,Total deaths averted by 2035,3300866.83,3300866.83,0.0
AGO,asthma_cr1,Cases averted by 2030,10644237.43,10644237.43,0.0
AGO,asthma_cr1,Cases averted by 2035,23111795.479999997,23111795.48,3.725290298461914e-09
AGO,asthma_cr1,Total healthy years lived by 2030,216168669.0,216229938.55,61269.55000001192
AGO,asthma_cr1,Total healthy years lived by 2035,425456307.9200001,425616751.58000004,160443.65999996662
AGO,asthma_cr1,Economic benefit (USD) by 2030,174428581011.28772,174459657281.9974,31076270.70968628
AGO,asthma_cr1,Economic benefit (USD) by 2035,324079473192.6106,324159213637.46643,79740444.85583496
AGO,asthma_cr1,Intervention cost (USD) by 2030,0,153764068.80256087,153764068.80256087
AGO,asthma_cr1,Intervention cost (USD) by 2035,0,280491629.3845207,280491629.3845207
AGO,tobacco_t2,Total deaths averted by 2030,1707715.32,1707712.64,-2.680000000167638
AGO,tobacco_t2,Total deaths averted by 2035,3300866.83,3300851.91,-14.919999999925494
AGO,tobacco_t2,Cases averted by 2030,10644237.43,10642795.530000001,-1441.8999999985099
AGO,tobacco_t2,Cases averted by 2035,23111795.479999997,23105749.27,-6046.209999997169
AGO,tobacco_t2,Total healthy years lived by 2030,216168669.0,216168790.6,121.59999999403954
AGO,tobacco_t2,Total healthy years lived by 2035,425456307.9200001,425456839.71,531.7899999022484
AGO,tobacco_t2,Economic benefit (USD) by 2030,174428581011.28772,174428764158.32535,183147.03762817383
AGO,tobacco_t2,Economic benefit (USD) by 2035,324079473192.6106,324080211370.021,738177.4104003906
AGO,tobacco_t2,Intervention cost (USD) by 2030,0,52043224.20920535,52043224.20920535
AGO,tobacco_t2,Intervention cost (USD) by 2035,0,94935637.28817973,94935637.28817973
AGO,tobacco_t3,Total deaths averted by 2030,1707715.32,1707713.7099999997,-1.6100000003352761
AGO,tobacco_t3,Total deaths averted by 2035,3300866.83,3300857.89,-8.93999999994412
AGO,tobacco_t3,Cases averted by 2030,10644237.43,10643373.66,-863.769999999553
AGO,tobacco_t3,Cases averted by 2035,23111795.479999997,23108174.22,-3621.259999997914
AGO,tobacco_t3,Total healthy years lived by 2030,216168669.0,216168741.86,72.86000001430511
AGO,tobacco_t3,Total healthy years lived by 2035,425456307.9200001,425456626.45,318.5299999117851
AGO,tobacco_t3,Economic benefit (USD) by 2030,174428581011.28772,174428690716.12515,109704.83743286133
AGO,tobacco_t3,Economic benefit (USD) by 2035,324079473192.6106,324079915274.6164,442082.00579833984
AGO,tobacco_t3,Intervention cost (USD) by 2030,0,9462404.334881501,9462404.334881501
AGO,tobacco_t3,Intervention cost (USD) by 2035,0,17261024.314068332,17261024.314068332
AGO,tobacco_t6,Total deaths averted by 2030,1707715.32,1707713.33,-1.9899999999906868
AGO,tobacco_t6,Total deaths averted by 2035,3300866.83,3300855.7899999996,-11.040000000502914
AGO,tobacco_t6,Cases averted by 2030,10644237.43,10643171.52,-1065.910000000149
AGO,tobacco_t6,Cases averted by 2035,23111795.479999997,23107326.48,-4468.999999996275
AGO,tobacco_t6,Total healthy years lived by 2030,216168669.0,216168758.9,89.90000000596046
AGO,tobacco_t6,Total healthy years lived by 2035,425456307.9200001,425456701.0,393.07999992370605
AGO,tobacco_t6,Economic benefit (USD) by 2030,174428581011.28772,174428716392.96906,135381.68133544922
AGO,tobacco_t6,Economic benefit (USD) by 2035,324079473192.6106,324080018782.4219,545589.8112792969
AGO,tobacco_t6,Intervention cost (USD) by 2030,0,9462404.35807248,9462404.35807248
AGO,tobacco_t6,Intervention cost (USD) by 2035,0,17261024.540750157,17261024.540750157
AGO,tobacco_t4,Total deaths averted by 2030,1707715.32,1707711.58,-3.7399999999906868
AGO,tobacco_t4,Total deaths averted by 2035,3300866.83,3300845.9299999992,-20.90000000083819
AGO,tobacco_t4,Cases averted by 2030,10644237.43,10642215.56,-2021.8699999991804
AGO,tobacco_t4,Cases averted by 2035,23111795.479999997,23103315.619999997,-8479.859999999404
AGO,tobacco_t4,Total healthy years lived by 2030,216168669.0,216168839.50000003,170.50000002980232
AGO,tobacco_t4,Total healthy years lived by 2035,425456307.9200001,425457053.73,745.8099999427795
AGO,tobacco_t4,Economic benefit (USD) by 2030,174428581011.28772,174428837846.92072,256835.63299560547
AGO,tobacco_t4,Economic benefit (USD) by 2035,324079473192.6106,324080508573.81506,1035381.2044677734
AGO,tobacco_t4,Intervention cost (USD) by 2030,0,9462404.46877895,9462404.46877895
AGO,tobacco_t4,Intervention cost (USD) by 2035,0,17261025.61105964,17261025.61105964
AGO,tobacco_t5,Total deaths averted by 2030,1707715.32,1707712.14,-3.180000000167638
AGO,tobacco_t5,Total deaths averted by 2035,3300866.83,3300848.940000001,-17.889999999199063
AGO,tobacco_t5,Cases averted by 2030,10644237.43,10642505.76,-1731.6699999999255
AGO,tobacco_t5,Cases averted by 2035,23111795.479999997,23104533.52,-7261.959999997169
AGO,tobacco_t5,Total healthy years lived by 2030,216168669.0,216168815.02999997,146.02999997138977
AGO,tobacco_t5,Total healthy years lived by 2035,425456307.9200001,425456946.62,638.6999999284744
AGO,tobacco_t5,Economic benefit (USD) by 2030,174428581011.28772,174428800971.7176,219960.42987060547
AGO,tobacco_t5,Economic benefit (USD) by 2035,324079473192.6106,324080359832.86584,886640.2552490234
AGO,tobacco_t5,Intervention cost (USD) by 2030,0,9462404.434692759,9462404.434692759
AGO,tobacco_t5,Intervention cost (USD) by 2035,0,17261025.285600252,17261025.285600252
ARG,tobacco_t1,Total deaths averted by 2030,2082940.9100000001,2082939.6600000004,-1.2499999997671694
ARG,tobacco_t1,Total deaths averted by 2035,3923946.9200000004,3923942.4499999997,-4.470000000670552
ARG,tobacco_t1,Cases averted by 2030,22467865.54,22454470.659999996,-13394.880000002682
ARG,tobacco_t1,Cases averted by 2035,43631653.36,43592313.830000006,-39339.52999999374
ARG,tobacco_t1,Total healthy years lived by 2030,245823988.72000003,245824771.47999996,782.7599999308586
ARG,tobacco_t1,Total healthy years lived by 2035,456044002.65,456046296.8,2294.150000035763
ARG,tobacco_t1,Economic benefit (USD) by 2030,1542618141720.7998,1542624355334.7812,6213613.9814453125
ARG,tobacco_t1,Economic benefit (USD) by 2035,2687587061120.005,2687603755086.7773,16693966.772460938
ARG,tobacco_t1,Intervention cost (USD) by 2030,0,18413934.045139562,18413934.045139562
ARG,tobacco_t1,Intervention cost (USD) by 2035,0,31852256.73386101,31852256.73386101
ARG,asthma_cr1,Total deaths averted by 2030,2082940.9100000001,2082940.91,-2.3283064365386963e-10
ARG,asthma_cr1,Total deaths averted by 2035,3923946.9200000004,3923946.920000001,4.656612873077393e-10
ARG,asthma_cr1,Cases averted by 2030,22467865.54,22467865.54,0.0
ARG,asthma_cr1,Cases averted by 2035,43631653.36,43631653.36,0.0
ARG,asthma_cr1,Total healthy years lived by 2030,245823988.72000003,245906796.25,82807.52999997139
ARG,asthma_cr1,Total healthy years lived by 2035,456044002.65,456240388.90000004,196386.2500000596
