observation,age,value,region,sex
TheopPlusBeclom -> Disability,20_24,-0.24015361999999998,Andean Latin America,M
TheopPlusBeclom -> Disability,25_29,-0.24015361999999998,Andean Latin America,M
TheopPlusBeclom -> Disability,30_39,-0.24015361999999998,Andean Latin America,M
TheopPlusBeclom -> Disability,40_49,-0.24015361999999998,Andean Latin America,M
TheopPlusBeclom -> Disability,50_59,-0.24015361999999998,Andean Latin America,M
TheopPlusBeclom -> Disability,60_69,-0.24015361999999998,Andean Latin America,M
TheopPlusBeclom -> Disability,70_79,-0.24015361999999998,Andean Latin America,M
TheopPlusBeclom -> Disability,80_100,-0.24015361999999998,Andean Latin America,M
AsthmaOralPrednisolone -> Disability,0_4,-0.33734070000000005,Andean Latin America,M
AsthmaOralPrednisolone -> Disability,5_9,-0.33734070000000005,Andean Latin America,M
AsthmaOralPrednisolone -> Disability,10_14,-0.33734070000000005,Andean Latin America,M
AsthmaOralPrednisolone -> Disability,15_19,-0.33734070000000005,Andean Latin America,M
AsthmaOralPrednisolone -> Disability,20_24,-0.33734070000000005,Andean Latin America,M
AsthmaOralPrednisolone -> Disability,25_29,-0.33734070000000005,Andean Latin America,M
AsthmaOralPrednisolone -> Disability,30_39,-0.33734070000000005,Andean Latin America,M
AsthmaOralPrednisolone -> Disability,40_49,-0.33734070000000005,Andean Latin America,M
AsthmaOralPrednisolone -> Disability,50_59,-0.33734070000000005,Andean Latin America,M
AsthmaOralPrednisolone -> Disability,60_69,-0.33734070000000005,Andean Latin America,M
AsthmaOralPrednisolone -> Disability,70_79,-0.33734070000000005,Andean Latin America,M
AsthmaOralPrednisolone -> Disability,80_100,-0.33734070000000005,Andean Latin America,M
DsFreeSus -> Disability,0_4,0.02169,Australasia,M
DsFreeSus -> Disability,5_9,0.033994,Australasia,M
DsFreeSus -> Disability,10_14,0.046298,Australasia,M
DsFreeSus -> Disability,15_19,0.058601,Australasia,M
DsFreeSus -> Disability,20_24,0.070905,Australasia,M
DsFreeSus -> Disability,25_29,0.083209,Australasia,M
DsFreeSus -> Disability,30_39,0.101665,Australasia,M
DsFreeSus -> Disability,40_49,0.126272,Australasia,M
DsFreeSus -> Disability,50_59,0.15088,Australasia,M
DsFreeSus -> Disability,60_69,0.175488,Australasia,M
DsFreeSus -> Disability,70_79,0.200095,Australasia,M
DsFreeSus -> Disability,80_100,0.230855,Australasia,M
DsFreeSus -> AsthmaEpsd,0_4,0.0081,Australasia,M
DsFreeSus -> AsthmaEpsd,5_9,0.0496,Australasia,M
DsFreeSus -> AsthmaEpsd,10_14,0.041,Australasia,M
DsFreeSus -> AsthmaEpsd,15_19,0.0041,Australasia,M
DsFreeSus -> AsthmaEpsd,20_24,0.0011,Australasia,M
DsFreeSus -> AsthmaEpsd,25_29,0.0033,Australasia,M
DsFreeSus -> AsthmaEpsd,30_39,0.0036,Australasia,M
DsFreeSus -> AsthmaEpsd,40_49,0.004,Australasia,M
DsFreeSus -> AsthmaEpsd,50_59,0.0039,Australasia,M
DsFreeSus -> AsthmaEpsd,60_69,0.0044,Australasia,M
DsFreeSus -> AsthmaEpsd,70_79,0.0069,Australasia,M
DsFreeSus -> AsthmaEpsd,80_100,0.0111,Australasia,M
AsthmaEpsd -> Disability,0_4,0.049429,Australasia,M
AsthmaEpsd -> Disability,5_9,0.049429,Australasia,M
AsthmaEpsd -> Disability,10_14,0.049429,Australasia,M
AsthmaEpsd -> Disability,15_19,0.049429,Australasia,M
AsthmaEpsd -> Disability,20_24,0.049429,Australasia,M
AsthmaEpsd -> Disability,25_29,0.049429,Australasia,M
AsthmaEpsd -> Disability,30_39,0.049429,Australasia,M
AsthmaEpsd -> Disability,40_49,0.049429,Australasia,M
AsthmaEpsd -> Disability,50_59,0.049429,Australasia,M
AsthmaEpsd -> Disability,60_69,0.049429,Australasia,M
AsthmaEpsd -> Disability,70_79,0.049429,Australasia,M
AsthmaEpsd -> Disability,80_100,0.049429,Australasia,M
AsthmaEpsd -> DsFreeSus,0_4,0.0538,Australasia,M
AsthmaEpsd -> DsFreeSus,5_9,0.0713,Australasia,M
AsthmaEpsd -> DsFreeSus,10_14,0.0878,Australasia,M
AsthmaEpsd -> DsFreeSus,15_19,0.1,Australasia,M
AsthmaEpsd -> DsFreeSus,20_24,0.1068,Australasia,M
AsthmaEpsd -> DsFreeSus,25_29,0.0981,Australasia,M
AsthmaEpsd -> DsFreeSus,30_39,0.0656,Australasia,M
AsthmaEpsd -> DsFreeSus,40_49,0.0442,Australasia,M
AsthmaEpsd -> DsFreeSus,50_59,0.0346,Australasia,M
AsthmaEpsd -> DsFreeSus,60_69,0.0365,Australasia,M
AsthmaEpsd -> DsFreeSus,70_79,0.033,Australasia,M
AsthmaEpsd -> DsFreeSus,80_100,0.032,Australasia,M
Prevalence -> AsthmaEpsd,0_4,0.0092,Australasia,M
Prevalence -> AsthmaEpsd,5_9,0.1198,Australasia,M
Prevalence -> AsthmaEpsd,10_14,0.2508,Australasia,M
Prevalence -> AsthmaEpsd,15_19,0.2111,Australasia,M
Prevalence -> AsthmaEpsd,20_24,0.129,Australasia,M
Prevalence -> AsthmaEpsd,25_29,0.085,Australasia,M
Prevalence -> AsthmaEpsd,30_39,0.0664,Australasia,M
Prevalence -> AsthmaEpsd,40_49,0.0671,Australasia,M
Prevalence -> AsthmaEpsd,50_59,0.0762,Australasia,M
Prevalence -> AsthmaEpsd,60_69,0.0854,Australasia,M
Prevalence -> AsthmaEpsd,70_79,0.0981,Australasia,M
Prevalence -> AsthmaEpsd,80_100,0.1537,Australasia,M
Disability -> Disability,0_4,0.0,Australasia,M
Disability -> Disability,5_9,0.0,Australasia,M
Disability -> Disability,10_14,0.0,Australasia,M
Disability -> Disability,15_19,0.0,Australasia,M
Disability -> Disability,20_24,0.0,Australasia,M
Disability -> Disability,25_29,0.0,Australasia,M
Disability -> Disability,30_39,0.0,Australasia,M
Disability -> Disability,40_49,0.0,Australasia,M
Disability -> Disability,50_59,0.0,Australasia,M
Disability -> Disability,60_69,0.0,Australasia,M
Disability -> Disability,70_79,0.0,Australasia,M
Disability -> Disability,80_100,0.0,Australasia,M
InhaleShortactingBeta -> Disability,0_4,-0.00961066,Australasia,M
InhaleShortactingBeta -> Disability,5_9,-0.00961066,Australasia,M
InhaleShortactingBeta -> Disability,10_14,-0.00961066,Australasia,M
InhaleShortactingBeta -> Disability,15_19,-0.00961066,Australasia,M
InhaleShortactingBeta -> Disability,20_24,-0.00961066,Australasia,M
InhaleShortactingBeta -> Disability,25_29,-0.00961066,Australasia,M
InhaleShortactingBeta -> Disability,30_39,-0.00961066,Australasia,M
InhaleShortactingBeta -> Disability,40_49,-0.00961066,Australasia,M
InhaleShortactingBeta -> Disability,50_59,-0.00961066,Australasia,M
InhaleShortactingBeta -> Disability,60_69,-0.00961066,Australasia,M
InhaleShortactingBeta -> Disability,70_79,-0.00961066,Australasia,M
InhaleShortactingBeta -> Disability,80_100,-0.00961066,Australasia,M
LowDoseBeclom -> Disability,0_4,-0.07979948,Australasia,M
LowDoseBeclom -> Disability,5_9,-0.07979948,Australasia,M
LowDoseBeclom -> Disability,10_14,-0.07979948,Australasia,M
LowDoseBeclom -> Disability,15_19,-0.07979948,Australasia,M
LowDoseBeclom -> Disability,20_24,-0.07979948,Australasia,M
LowDoseBeclom -> Disability,25_29,-0.07979948,Australasia,M
LowDoseBeclom -> Disability,30_39,-0.07979948,Australasia,M
LowDoseBeclom -> Disability,40_49,-0.07979948,Australasia,M
LowDoseBeclom -> Disability,50_59,-0.07979948,Australasia,M
LowDoseBeclom -> Disability,60_69,-0.07979948,Australasia,M
LowDoseBeclom -> Disability,70_79,-0.07979948,Australasia,M
LowDoseBeclom -> Disability,80_100,-0.07979948,Australasia,M
LowDoseBeclom -> Deceased,0_4,-0.5,Australasia,M
LowDoseBeclom -> Deceased,5_9,-0.5,Australasia,M
LowDoseBeclom -> Deceased,10_14,-0.5,Australasia,M
LowDoseBeclom -> Deceased,15_19,-0.5,Australasia,M
LowDoseBeclom -> Deceased,20_24,-0.5,Australasia,M
LowDoseBeclom -> Deceased,25_29,-0.5,Australasia,M
LowDoseBeclom -> Deceased,30_39,-0.5,Australasia,M
LowDoseBeclom -> Deceased,40_49,-0.5,Australasia,M
LowDoseBeclom -> Deceased,50_59,-0.5,Australasia,M
LowDoseBeclom -> Deceased,60_69,-0.5,Australasia,M
LowDoseBeclom -> Deceased,70_79,-0.5,Australasia,M
LowDoseBeclom -> Deceased,80_100,-0.5,Australasia,M
HighDoseBeclom -> Disability,0_4,-0.13260075000000002,Australasia,M
HighDoseBeclom -> Disability,5_9,-0.13260075000000002,Australasia,M
HighDoseBeclom -> Disability,10_14,-0.13260075000000002,Australasia,M
HighDoseBeclom -> Disability,15_19,-0.13260075000000002,Australasia,M
HighDoseBeclom -> Disability,20_24,-0.13260075000000002,Australasia,M
HighDoseBeclom -> Disability,25_29,-0.13260075000000002,Australasia,M
HighDoseBeclom -> Disability,30_39,-0.13260075000000002,Australasia,M
HighDoseBeclom -> Disability,40_49,-0.13260075000000002,Australasia,M
HighDoseBeclom -> Disability,50_59,-0.13260075000000002,Australasia,M
HighDoseBeclom -> Disability,60_69,-0.13260075000000002,Australasia,M
HighDoseBeclom -> Disability,70_79,-0.13260075000000002,Australasia,M
HighDoseBeclom -> Disability,80_100,-0.13260075000000002,Australasia,M
OralPrednisTheopPlusBeclom -> Disability,0_4,-0.13752775,Australasia,M
OralPrednisTheopPlusBeclom -> Disability,5_9,-0.13752775,Australasia,M
OralPrednisTheopPlusBeclom -> Disability,10_14,-0.13752775,Australasia,M
OralPrednisTheopPlusBeclom -> Disability,15_19,-0.13752775,Australasia,M
OralPrednisTheopPlusBeclom -> Disability,20_24,-0.13752775,Australasia,M
OralPrednisTheopPlusBeclom -> Disability,25_29,-0.13752775,Australasia,M
OralPrednisTheopPlusBeclom -> Disability,30_39,-0.13752775,Australasia,M
OralPrednisTheopPlusBeclom -> Disability,40_49,-0.13752775,Australasia,M
OralPrednisTheopPlusBeclom -> Disability,50_59,-0.13752775,Australasia,M
OralPrednisTheopPlusBeclom -> Disability,60_69,-0.13752775,Australasia,M
OralPrednisTheopPlusBeclom -> Disability,70_79,-0.13752775,Australasia,M
OralPrednisTheopPlusBeclom -> Disability,80_100,-0.13752775,Australasia,M
TheopPlusBeclom -> Disability,0_4,-0.24015361999999998,Australasia,M
TheopPlusBeclom -> Disability,5_9,-0.24015361999999998,Australasia,M
TheopPlusBeclom -> Disability,10_14,-0.24015361999999998,Australasia,M
TheopPlusBeclom -> Disability,15_19,-0.24015361999999998,Australasia,M
TheopPlusBeclom -> Disability,20_24,-0.24015361999999998,Australasia,M
TheopPlusBeclom -> Disability,25_29,-0.24015361999999998,Australasia,M
TheopPlusBeclom -> Disability,30_39,-0.24015361999999998,Australasia,M
TheopPlusBeclom -> Disability,40_49,-0.24015361999999998,Australasia,M
TheopPlusBeclom -> Disability,50_59,-0.24015361999999998,Australasia,M
TheopPlusBeclom -> Disability,60_69,-0.24015361999999998,Australasia,M
TheopPlusBeclom -> Disability,70_79,-0.24015361999999998,Australasia,M
TheopPlusBeclom -> Disability,80_100,-0.24015361999999998,Australasia,M
AsthmaOralPrednisolone -> Disability,0_4,-0.33734070000000005,Australasia,M
AsthmaOralPrednisolone -> Disability,5_9,-0.33734070000000005,Australasia,M
AsthmaOralPrednisolone -> Disability,10_14,-0.33734070000000005,Australasia,M
AsthmaOralPrednisolone -> Disability,15_19,-0.33734070000000005,Australasia,M
AsthmaOralPrednisolone -> Disability,20_24,-0.33734070000000005,Australasia,M
AsthmaOralPrednisolone -> Disability,25_29,-0.33734070000000005,Australasia,M
AsthmaOralPrednisolone -> Disability,30_39,-0.33734070000000005,Australasia,M
AsthmaOralPrednisolone -> Disability,40_49,-0.33734070000000005,Australasia,M
AsthmaOralPrednisolone -> Disability,50_59,-0.33734070000000005,Australasia,M
AsthmaOralPrednisolone -> Disability,60_69,-0.33734070000000005,Australasia,M
AsthmaOralPrednisolone -> Disability,70_79,-0.33734070000000005,Australasia,M
AsthmaOralPrednisolone -> Disability,80_100,-0.33734070000000005,Australasia,M
DsFreeSus -> Disability,0_4,0.045956,Caribbean,M
DsFreeSus -> Disability,5_9,0.061179,Caribbean,M
DsFreeSus -> Disability,10_14,0.076402,Caribbean,M
DsFreeSus -> Disability,15_19,0.091624,Caribbean,M
DsFreeSus -> Disability,20_24,0.106847,Caribbean,M
DsFreeSus -> Disability,25_29,0.12207,Caribbean,M
DsFreeSus -> Disability,30_39,0.144904,Caribbean,M
DsFreeSus -> Disability,40_49,0.175349,Caribbean,M
DsFreeSus -> Disability,50_59,0.205795,Caribbean,M
DsFreeSus -> Disability,60_69,0.23624,Caribbean,M
DsFreeSus -> Disability,70_79,0.266685,Caribbean,M
DsFreeSus -> Disability,80_100,0.304742,Caribbean,M
DsFreeSus -> AsthmaEpsd,0_4,0.0057,Caribbean,M
DsFreeSus -> AsthmaEpsd,5_9,0.0317,Caribbean,M
DsFreeSus -> AsthmaEpsd,10_14,0.026,Caribbean,M
DsFreeSus -> AsthmaEpsd,15_19,0.0026,Caribbean,M
DsFreeSus -> AsthmaEpsd,20_24,0.0005,Caribbean,M
DsFreeSus -> AsthmaEpsd,25_29,0.0015,Caribbean,M
DsFreeSus -> AsthmaEpsd,30_39,0.0026,Caribbean,M
DsFreeSus -> AsthmaEpsd,40_49,0.003,Caribbean,M
DsFreeSus -> AsthmaEpsd,50_59,0.0028,Caribbean,M
DsFreeSus -> AsthmaEpsd,60_69,0.0032,Caribbean,M
DsFreeSus -> AsthmaEpsd,70_79,0.0043,Caribbean,M
DsFreeSus -> AsthmaEpsd,80_100,0.0068,Caribbean,M
AsthmaEpsd -> Disability,0_4,0.067518,Caribbean,M
AsthmaEpsd -> Disability,5_9,0.067518,Caribbean,M
AsthmaEpsd -> Disability,10_14,0.067518,Caribbean,M
AsthmaEpsd -> Disability,15_19,0.067518,Caribbean,M
AsthmaEpsd -> Disability,20_24,0.067518,Caribbean,M
AsthmaEpsd -> Disability,25_29,0.067518,Caribbean,M
AsthmaEpsd -> Disability,30_39,0.067518,Caribbean,M
AsthmaEpsd -> Disability,40_49,0.067518,Caribbean,M
AsthmaEpsd -> Disability,50_59,0.067518,Caribbean,M
AsthmaEpsd -> Disability,60_69,0.067518,Caribbean,M
AsthmaEpsd -> Disability,70_79,0.067518,Caribbean,M
AsthmaEpsd -> Disability,80_100,0.067518,Caribbean,M
AsthmaEpsd -> DsFreeSus,0_4,0.0534,Caribbean,M
AsthmaEpsd -> DsFreeSus,5_9,0.0715,Caribbean,M
AsthmaEpsd -> DsFreeSus,10_14,0.0892,Caribbean,M
AsthmaEpsd -> DsFreeSus,15_19,0.1019,Caribbean,M
AsthmaEpsd -> DsFreeSus,20_24,0.1077,Caribbean,M
AsthmaEpsd -> DsFreeSus,25_29,0.0984,Caribbean,M
AsthmaEpsd -> DsFreeSus,30_39,0.0655,Caribbean,M
AsthmaEpsd -> DsFreeSus,40_49,0.0444,Caribbean,M
AsthmaEpsd -> DsFreeSus,50_59,0.0346,Caribbean,M
AsthmaEpsd -> DsFreeSus,60_69,0.0365,Caribbean,M
AsthmaEpsd -> DsFreeSus,70_79,0.0331,Caribbean,M
AsthmaEpsd -> DsFreeSus,80_100,0.032,Caribbean,M
Prevalence -> AsthmaEpsd,0_4,0.0073,Caribbean,M
Prevalence -> AsthmaEpsd,5_9,0.0809,Caribbean,M
Prevalence -> AsthmaEpsd,10_14,0.1708,Caribbean,M
Prevalence -> AsthmaEpsd,15_19,0.1438,Caribbean,M
Prevalence -> AsthmaEpsd,20_24,0.0868,Caribbean,M
Prevalence -> AsthmaEpsd,25_29,0.0552,Caribbean,M
Prevalence -> AsthmaEpsd,30_39,0.0429,Caribbean,M
Prevalence -> AsthmaEpsd,40_49,0.047,Caribbean,M
Prevalence -> AsthmaEpsd,50_59,0.0541,Caribbean,M
Prevalence -> AsthmaEpsd,60_69,0.0618,Caribbean,M
Prevalence -> AsthmaEpsd,70_79,0.0701,Caribbean,M
Prevalence -> AsthmaEpsd,80_100,0.1041,Caribbean,M
Disability -> Disability,0_4,0.0,Caribbean,M
Disability -> Disability,5_9,0.0,Caribbean,M
Disability -> Disability,10_14,0.0,Caribbean,M
Disability -> Disability,15_19,0.0,Caribbean,M
Disability -> Disability,20_24,0.0,Caribbean,M
Disability -> Disability,25_29,0.0,Caribbean,M
Disability -> Disability,30_39,0.0,Caribbean,M
Disability -> Disability,40_49,0.0,Caribbean,M
Disability -> Disability,50_59,0.0,Caribbean,M
Disability -> Disability,60_69,0.0,Caribbean,M
Disability -> Disability,70_79,0.0,Caribbean,M
Disability -> Disability,80_100,0.0,Caribbean,M
InhaleShortactingBeta -> Disability,0_4,-0.00961066,Caribbean,M
InhaleShortactingBeta -> Disability,5_9,-0.00961066,Caribbean,M
InhaleShortactingBeta -> Disability,10_14,-0.00961066,Caribbean,M
InhaleShortactingBeta -> Disability,15_19,-0.00961066,Caribbean,M
InhaleShortactingBeta -> Disability,20_24,-0.00961066,Caribbean,M
InhaleShortactingBeta -> Disability,25_29,-0.00961066,Caribbean,M
InhaleShortactingBeta -> Disability,30_39,-0.00961066,Caribbean,M
InhaleShortactingBeta -> Disability,40_49,-0.00961066,Caribbean,M
InhaleShortactingBeta -> Disability,50_59,-0.00961066,Caribbean,M
InhaleShortactingBeta -> Disability,60_69,-0.00961066,Caribbean,M
InhaleShortactingBeta -> Disability,70_79,-0.00961066,Caribbean,M
InhaleShortactingBeta -> Disability,80_100,-0.00961066,Caribbean,M
LowDoseBeclom -> Disability,0_4,-0.07979948,Caribbean,M
LowDoseBeclom -> Disability,5_9,-0.07979948,Caribbean,M
LowDoseBeclom -> Disability,10_14,-0.07979948,Caribbean,M
LowDoseBeclom -> Disability,15_19,-0.07979948,Caribbean,M
LowDoseBeclom -> Disability,20_24,-0.07979948,Caribbean,M
LowDoseBeclom -> Disability,25_29,-0.07979948,Caribbean,M
